City_ID,City,Country,Max Temp,Current,Lat,Lng,Hotel Name
375,Serang,ID,79.0,scattered clouds,-6.1149,106.1502,Horison Ultima Ratu
377,Hobyo,SO,83.03,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
382,Miranda,CO,84.2,broken clouds,3.2499,-76.2281,unidiversidad organica la utopia
383,Sibolga,ID,77.02,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
386,Baghdad,IQ,77.0,broken clouds,33.3406,44.4009,Baghdad Hotel
391,Acapulco,MX,84.2,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
394,Voh,NC,75.11,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
398,Gigmoto,PH,76.75,overcast clouds,13.7796,124.39,Cj's Travellers Inn
403,Padang,ID,77.0,scattered clouds,-0.9492,100.3543,Mercure Padang
406,Kandrian,PG,76.14,moderate rain,-6.2167,149.55,Kandrian Station
407,Kalmunai,LK,80.13,scattered clouds,7.4167,81.8167,VS Villa
409,Teknaf,BD,76.28,few clouds,20.8624,92.3058,Forestry Guesthouse
414,Pundaguitan,PH,81.05,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
416,Cabedelo,BR,78.8,broken clouds,-6.9811,-34.8339,Hotel Pigalle
418,Geraldton,AU,77.0,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
419,Conde,BR,78.8,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
420,Cururupu,BR,85.39,few clouds,-1.8283,-44.8683,Pousada Través'cia
422,Manaus,BR,87.8,scattered clouds,-3.1019,-60.025,Manaus Hotéis Millennium
427,Ambanja,MG,75.9,light rain,-13.6833,48.45,Hotel Salama and Fast Food
429,Port Keats,AU,79.72,few clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
436,Catia La Mar,VE,84.2,light rain,10.6038,-67.0303,HOTEL PLAYA GRANDE CARIBE
437,Boyolangu,ID,75.9,broken clouds,-8.1181,111.8935,Yos ega cv
442,Bodden Town,KY,87.8,broken clouds,19.2833,-81.25,Will T Place
443,Campo Gobierno,MX,87.01,few clouds,24.6536,-107.5411,Casa de la Abuela
449,Kieta,PG,77.27,light rain,-6.2167,155.6333,Uruna Bay Retreat
453,Moerai,PF,78.22,overcast clouds,-22.4333,-151.3333,Le Manotel
454,Sinnamary,GF,82.29,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
462,Santo Tomas,PH,80.6,few clouds,14.1079,121.1414,Microtel by Wyndham Batangas
463,Lima,PE,75.99,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
465,Takoradi,GH,83.41,overcast clouds,4.8845,-1.7554,Raybow International Hotel
466,Gemena,CD,77.56,broken clouds,3.25,19.7667,Hôtel Goshen
467,Banyo,CM,81.32,overcast clouds,6.75,11.8167,Motel JOMBA
469,Waingapu,ID,76.42,clear sky,-9.6567,120.2641,Pondok Wisata Elim
